# manga_tileid n_ancillaries ancillary_weight
6702 1 0.943396226415094
6703 2 1.79122231337162
6704 0 1
6705 1 1.84782608695652
6706 0 1
6707 1 1.25
6708 1 1.2
6709 2 1.73230621088108
6710 2 1.98418972332016
6711 2 0.886792452830189
6712 1 1.25
6713 1 0.943396226415094
6714 1 1.84782608695652
6715 3 2.50035536602701
6716 0 1
6717 0 1
6718 2 1.23051409618574
6719 0 1
6720 0 1
6721 0 1
6722 1 1.11940298507463
6723 1 1.2
6724 1 1.11111111111111
6725 1 1.84782608695652
6726 0 1
6727 0 1
6728 0 1
6729 0 1
6730 1 0.943396226415094
6731 6 2.93834125306148
6733 1 1.84782608695652
6734 2 0.792101341281669
6735 1 1.66666666666667
6736 0 1
6737 0 1
6738 2 1.05450733752621
6739 0 1
6740 1 1.13636363636364
6741 0 1
6742 1 0.943396226415094
6743 1 1.11940298507463
6744 3 1.49969567863664
6745 1 1.11940298507463
6746 1 1.11940298507463
6747 1 1.66666666666667
6748 1 1.2
6749 0 1
6750 0 1
6751 0 1
6752 0 1
6753 0 1
6754 2 1.23051409618574
6755 0 1
6756 0 1
6757 0 1
6758 1 1.11940298507463
6759 1 0.655737704918033
6760 1 1.25
6761 2 2.51449275362319
6762 0 1
6763 1 1.25
6764 0 1
6765 0 1
6766 1 1.13636363636364
6767 0 1
6768 1 1.11940298507463
6769 1 1.13636363636364
6770 1 1.11940298507463
6771 0 1
6772 0 1
6773 0 1
6774 1 1.66666666666667
6775 0 1
6776 1 1.11111111111111
6777 0 1
6778 0 1
6779 0 1
6780 1 1.11940298507463
6781 1 1.25
6782 1 1.66666666666667
6783 0 1
6784 0 1
6785 0 1
6786 2 2.51449275362319
6787 1 1.84782608695652
6788 2 1.95893719806763
6789 1 1.11111111111111
6790 0 1
6791 2 2.33333333333333
6792 1 1.13636363636364
6793 1 1.66666666666667
6794 2 1.91666666666667
6795 3 1.25450733752621
6796 0 1
6797 0 1
6798 0 1
6799 1 1.25
6800 2 1.61006289308176
6801 0 1
6802 1 1.84782608695652
6803 1 1.13636363636364
6804 4 3.14623655913979
6805 1 1.11940298507463
6806 2 1.27272727272727
6807 1 1.11940298507463
6808 1 1.11111111111111
6809 0 1
6810 0 1
6811 1 1.11111111111111
6812 3 1.13679245283019
6813 2 1.22222222222222
6814 0 1
6815 1 1.84782608695652
6816 2 1.31940298507463
6817 3 1.91062529844624
6818 2 2.46072931276297
6819 0 1
6820 0 1
6821 0 1
6822 0 1
6823 0 1
6824 3 1.40500456708812
6825 1 1.11111111111111
6826 3 4.2206727698531
6827 1 1.11940298507463
6828 1 1.66666666666667
6829 1 1.11940298507463
6830 1 0.655737704918033
6831 0 1
6832 0 1
6833 0 1
6834 2 1.19339622641509
6836 1 0.943396226415094
6837 0 1
6838 1 1.61290322580645
6839 1 1.11111111111111
6840 0 1
6841 1 0.655737704918033
6842 1 0.943396226415094
6843 0 1
6844 0 1
6845 3 4.06565656565657
6846 0 1
6847 1 1.84782608695652
6848 1 1.11111111111111
6849 2 1.8030303030303
6850 1 1.13636363636364
6851 0 1
6852 0 1
6853 1 1.61290322580645
6854 2 0.77514068999266
6855 1 1.25
6856 0 1
6857 1 1.2
6858 0 1
6859 3 1.47272727272727
6860 0 1
6861 0 1
6862 0 1
6863 3 1.19087097388984
6864 1 1.66666666666667
6865 1 1.66666666666667
6867 1 1.13636363636364
6868 1 1.25
6869 1 1.84782608695652
6870 0 1
6871 0 1
6872 1 1.11111111111111
6873 2 0.792101341281669
6874 1 1.71428571428571
6875 0 1
6876 2 1.22222222222222
6877 0 1
6878 1 1.5
6879 1 1.13636363636364
6880 3 2.80676328502415
6881 0 1
6882 3 3.30855539971949
6883 2 1.73230621088108
6884 0 1
6885 0 1
6886 2 2.04782608695652
6887 1 1.66666666666667
6888 2 1.3224043715847
6889 0 1
6890 0 1
6891 2 0.599133931333127
6892 1 1.61290322580645
6893 3 1.88154415653094
6894 0 1
6895 0 1
6896 2 2.69565217391304
6897 2 1.8030303030303
6898 1 1.66666666666667
6899 0 1
6900 1 0.943396226415094
6901 2 1.36111111111111
6902 1 1.61290322580645
6903 3 1.84341732199219
6904 0 1
6905 2 1.07975986277873
6906 0 1
6907 0 1
6908 0 1
6909 1 1.5
6910 0 1
6911 2 1.61006289308176
6912 2 1.06279921148972
6913 0 1
6914 1 1.13636363636364
6915 3 4.07394843962008
6916 0 1
6917 0 1
6918 1 1.66666666666667
6919 0 1
6920 3 2.39897287754774
6921 0 1
6922 1 1.61290322580645
6923 2 1.05450733752621
6924 2 1.86666666666667
6925 0 1
6926 1 1.66666666666667
6927 1 1.13636363636364
6928 0 1
6929 1 1.66666666666667
6930 3 0.422586520947177
6931 1 1.84782608695652
6932 4 1.71612349914237
6933 1 0.655737704918033
6934 2 1.27272727272727
6935 0 1
6936 2 0.905737704918033
6937 0 1
6938 0 1
6939 1 1.11111111111111
6940 0 1
6941 1 1.25
6942 1 1.61290322580645
6943 0 1
6944 0 1
6945 1 0.655737704918033
6946 2 1.06279921148972
6947 2 1.05450733752621
6948 0 1
6949 1 4.42857142857143
6950 1 1.11111111111111
6951 2 2.56211180124224
6952 1 1.66666666666667
6953 1 1.13636363636364
6954 0 1
6955 2 1.73230621088108
6956 0 1
6957 1 1.84782608695652
6958 0 1
6959 1 1.11111111111111
6960 1 0.943396226415094
6961 0 1
6962 0 1
6963 1 1.13636363636364
6964 1 1.66666666666667
6965 0 1
6966 1 1.61290322580645
6967 0 1
6968 1 1.11940298507463
6969 1 1.84782608695652
6970 1 1.13636363636364
6971 1 1.84782608695652
6972 1 1.11111111111111
6973 1 1.84782608695652
6974 0 1
6975 2 2.51449275362319
6976 2 0.599133931333127
6977 0 1
6978 1 1.84782608695652
6979 0 1
6980 1 1.11111111111111
6981 4 2.83389573869782
6982 1 1.11940298507463
6983 0 1
6984 1 1.13636363636364
6985 0 1
6986 1 1.2
6987 1 1.61290322580645
6988 0 1
6989 1 1.66666666666667
6990 2 1.25576662143826
6991 3 2.66072931276297
6992 1 1.61290322580645
6993 0 1
6994 5 1.39810746694184
6995 2 0.855737704918033
6996 1 1.84782608695652
6997 0 1
6998 1 0.655737704918033
6999 0 1
7000 1 0.943396226415094
7001 0 1
7002 0 1
7003 1 0.655737704918033
7004 0 1
7005 1 1.61290322580645
7006 5 2.40074455472696
7007 0 1
7008 2 0.855737704918033
7009 1 1.84782608695652
7010 0 1
7011 0 1
7012 1 1.11940298507463
7013 1 1.66666666666667
7014 1 1.84782608695652
7015 0 1
7016 0 1
7017 1 0.655737704918033
7018 1 1.11940298507463
7019 0 1
7020 0 1
7021 0 1
7022 1 1.61290322580645
7023 1 0.655737704918033
7024 1 1.11940298507463
7025 0 1
7026 1 1.84782608695652
7027 2 1.06279921148972
7028 1 1.25
7029 0 1
7030 0 1
7031 2 1.50356379187455
7032 0 1
7033 1 0.5
7034 2 1.77777777777778
7035 0 1
7036 1 1.11940298507463
7037 4 7.02272727272727
7038 0 1
7039 0 1
7040 2 2.51449275362319
7041 1 3.81818181818182
7042 0 1
7043 0 1
7044 0 1
7045 3 2.35138987883108
7046 1 1.84782608695652
7047 0 1
7048 1 0.655737704918033
7049 2 1.3224043715847
7050 1 1.2
7051 2 3.76157804459691
7052 1 1.13636363636364
7053 0 1
7054 1 1.11111111111111
7055 0 1
7056 0 1
7057 2 2.32718894009217
7058 2 1.31111111111111
7059 2 1.72401433691756
7060 0 1
7061 0 1
7062 3 5.21979374194304
7063 2 1.50356379187455
7064 0 1
7065 0 1
7066 0 1
7067 1 3.81818181818182
7068 0 1
7069 2 1.78606965174129
7070 2 1.31111111111111
7071 0 1
7072 1 1.11111111111111
7073 0 1
7074 1 1.11111111111111
7075 0 1
7076 0 1
7077 5 3.49741939863339
7078 1 0.655737704918033
7079 0 1
7080 2 0.311475409836065
7081 0 1
7082 1 1.66666666666667
7083 1 1.11940298507463
7084 0 1
7085 0 1
7086 0 1
7087 0 1
7088 2 1.79122231337162
7089 0 1
7090 0 1
7091 1 1.66666666666667
7092 1 1.11940298507463
7093 1 1.66666666666667
7094 1 1.11111111111111
7095 0 1
7096 1 0.655737704918033
7097 1 4.42857142857143
7098 1 0.943396226415094
7099 2 1.36940298507463
7100 1 0.943396226415094
7101 0 1
7102 2 1.78606965174129
7103 2 1.77777777777778
7104 2 1.27272727272727
7105 2 1.73230621088108
7106 0 1
7107 0 1
7108 0 1
7109 0 1
7110 1 0.655737704918033
7111 0 1
7112 2 1.96722907203115
7113 0 1
7114 1 0.655737704918033
7115 1 1.11111111111111
7116 1 0.943396226415094
7117 0 1
7118 0 1
7119 1 1.2
7120 0 1
7121 3 1.38804391579911
7122 0 1
7123 1 1.11940298507463
7124 2 0.792101341281669
7125 0 1
7126 2 0.77514068999266
7127 3 0.799133931333127
7128 0 1
7129 1 0.943396226415094
7130 3 0.430878394910692
7131 4 3.32575219142383
7132 0 1
7133 1 0.655737704918033
7134 2 1.31111111111111
7135 0 1
7136 0 1
7137 0 1
7138 0 1
7139 1 1.13636363636364
7140 0 1
7141 2 1.78606965174129
7142 0 1
7143 0 1
7144 1 4.42857142857143
7145 2 0.599133931333127
7146 1 1.84782608695652
7147 2 1.96722907203115
7148 5 3.97770154373928
7149 0 1
7150 1 1.13636363636364
7151 0 1
7152 0 1
7153 0 1
7154 3 1.51864093072448
7155 1 3.81818181818182
7156 4 6.16825396825397
7157 3 4.54219615509938
7158 2 1.50356379187455
7159 0 1
7160 3 1.45876800794834
7161 1 1.11940298507463
7162 1 1.11111111111111
7163 0 1
7164 0 1
7165 2 1.27272727272727
7166 1 1.11940298507463
7167 2 1.25576662143826
7168 1 1.66666666666667
7169 0 1
7170 0 1
7171 1 1.13636363636364
7172 1 1.84782608695652
7173 3 1.75
7174 1 0.943396226415094
7175 2 1.27272727272727
7176 1 0.655737704918033
7177 2 1.8030303030303
7178 1 1.11940298507463
7179 1 0.943396226415094
7180 1 1.84782608695652
7181 2 1.27272727272727
7182 2 1.95893719806763
7183 2 1.24747474747475
7184 0 1
7185 1 1.13636363636364
7186 0 1
7187 0 1
7188 2 1.07975986277873
7189 2 0.886792452830189
7190 0 1
7191 0 1
7192 1 1.11940298507463
7193 0 1
7194 0 1
7195 4 2.9344581440623
7196 0 1
7197 0 1
7198 0 1
7199 2 1.86666666666667
7200 1 1.11940298507463
7201 2 1.50356379187455
7202 1 1.11940298507463
7203 1 1.11940298507463
7204 0 1
7205 1 1.25
7206 0 1
7207 1 1.84782608695652
7208 0 1
7209 2 1.23051409618574
7210 1 1.66666666666667
7211 2 1.31940298507463
7212 1 1.11940298507463
7213 1 2.42857142857143
7214 0 1
7215 2 1.38636363636364
7216 0 1
7217 0 1
7218 4 1.61909866371127
7219 0 1
7220 0 1
7221 1 1.11111111111111
7222 0 1
7223 0 1
7224 5 4.31275440976933
7225 2 1.24747474747475
7226 1 1.11940298507463
7227 1 1.11940298507463
7228 0 1
7229 2 1.24747474747475
7230 2 0.886792452830189
7231 1 1.84782608695652
7232 0 1
7233 1 0.943396226415094
7234 0 1
7235 0 1
7236 0 1
7237 0 1
7238 1 1.84782608695652
7239 0 1
7240 0 1
7241 6 2.56714615329151
7242 0 1
7243 0 1
7244 0 1
7245 0 1
7246 0 1
7247 2 1.95893719806763
7248 2 1.86290322580645
7249 1 0.943396226415094
7250 1 1.11111111111111
7251 0 1
7252 0 1
7253 2 1.07975986277873
7254 0 1
7255 1 0.943396226415094
7256 2 1.74926686217009
7257 2 1.77777777777778
7258 0 1
7259 1 1.11111111111111
7260 0 1
7261 1 1.2
7262 1 1.11940298507463
7263 0 1
7264 2 1.86290322580645
7265 4 1.92632287142529
7266 3 3.07363253856942
7267 1 1.13636363636364
7268 1 1.11111111111111
7269 1 1.61290322580645
7270 0 1
7271 0 1
7272 0 1
7273 1 3.81818181818182
7274 0 1
7275 1 1.84782608695652
7276 0 1
7277 0 1
7278 1 1.11111111111111
7279 0 1
7280 1 1.13636363636364
7281 1 0.655737704918033
7282 1 1.11940298507463
7283 0 1
7284 0 1
7285 0 1
7286 1 1.11940298507463
7287 0 1
7288 0 1
7289 1 1.13636363636364
7290 0 1
7291 0 1
7292 1 0.943396226415094
7293 1 0.943396226415094
7294 0 1
7295 0 1
7296 3 1.61111111111111
7297 2 1.27272727272727
7298 1 1.13636363636364
7299 1 1.71428571428571
7300 2 2.51449275362319
7301 1 0.943396226415094
7302 2 1.36940298507463
7303 2 1.14339622641509
7304 0 1
7305 0 1
7306 1 1.11111111111111
7307 1 1.66666666666667
7308 3 1.15930149679259
7309 2 1.8030303030303
7310 0 1
7311 0 1
7312 1 1.11940298507463
7313 1 0.655737704918033
7314 1 1.11940298507463
7315 1 1.11111111111111
7316 1 1.25
7317 0 1
7318 0 1
7319 1 1.11111111111111
7320 1 3.81818181818182
7321 0 1
7322 0 1
7323 1 1.11111111111111
7324 1 0.655737704918033
7325 0 1
7326 0 1
7327 1 4.42857142857143
7328 0 1
7329 1 0.943396226415094
7330 1 1.11111111111111
7331 2 1.26864093072448
7332 1 0.655737704918033
7333 1 0.655737704918033
7334 2 0.311475409836065
7335 2 3.92929292929293
7336 1 1.84782608695652
7337 0 1
7338 0 1
7339 2 2.27956989247312
7340 1 0.5
7341 0 1
7342 0 1
7343 0 1
7344 3 2.06290322580645
7345 0 1
7346 0 1
7347 1 1.11111111111111
7348 1 1.84782608695652
7349 0 1
7350 1 1.11940298507463
7351 0 1
7352 1 1.11940298507463
7353 2 3.93758480325645
7354 0 1
7355 0 1
7356 1 1.13636363636364
